years,country,usd2010
2007,russian federation,0
2008,russian federation,0
2009,russian federation,0
2010,russian federation,0
2011,russian federation,0
2012,russian federation,0
2013,russian federation,0
2014,russian federation,0
2015,russian federation,0
2016,russian federation,0
1950,ukraine,0
1951,ukraine,0
1952,ukraine,0
1953,ukraine,0
1954,ukraine,0
1955,ukraine,0
1956,ukraine,0
1957,ukraine,0
1958,ukraine,0
1959,ukraine,0
1960,ukraine,0
1961,ukraine,0
1962,ukraine,0
1963,ukraine,0
1964,ukraine,4543217.625
1965,ukraine,4084.532
1966,ukraine,57212135.982
1967,ukraine,5911386245.721
1968,ukraine,602785409.281
1969,ukraine,53413029.848
1970,ukraine,0
1971,ukraine,0
1972,ukraine,0
1973,ukraine,0
1974,ukraine,0
1975,ukraine,0
1976,ukraine,0
1977,ukraine,0
1978,ukraine,0
1979,ukraine,0
1980,ukraine,0
1981,ukraine,0
1982,ukraine,0
1983,ukraine,0
1984,ukraine,0
1985,ukraine,0
1986,ukraine,0
1987,ukraine,0
1988,ukraine,0
1989,ukraine,0
1990,ukraine,0
1991,ukraine,0
1992,ukraine,0
1993,ukraine,0
1994,ukraine,0
1995,ukraine,0
1996,ukraine,0
1997,ukraine,0
1998,ukraine,0
1999,ukraine,0
2000,ukraine,0
2001,ukraine,0
2002,ukraine,0
2003,ukraine,0
2004,ukraine,0
2005,ukraine,0
2006,ukraine,0
2007,ukraine,0
2008,ukraine,0
2009,ukraine,0
2010,ukraine,0
2011,ukraine,0
2012,ukraine,0
2013,ukraine,0
2014,ukraine,0
2015,ukraine,0
2016,ukraine,0
1950,lithuania,0
1951,lithuania,0
1952,lithuania,0
1953,lithuania,0
1954,lithuania,0
1955,lithuania,0
1956,lithuania,0
1957,lithuania,0
1958,lithuania,0
1959,lithuania,0
1960,lithuania,0
1961,lithuania,0
1962,lithuania,0
1963,lithuania,0
1964,lithuania,40650.683
1965,lithuania,45.097
1966,lithuania,8221305.944
1967,lithuania,1350565550.322
1968,lithuania,129697555.701
1969,lithuania,29777192.887
1970,lithuania,0
1971,lithuania,0
1972,lithuania,0
1973,lithuania,0
1974,lithuania,0
1975,lithuania,0
1976,lithuania,0
1977,lithuania,0
1978,lithuania,0
1979,lithuania,0
1980,lithuania,0
1981,lithuania,0
1982,lithuania,0
1983,lithuania,0
1984,lithuania,0
1985,lithuania,0
1986,lithuania,0
1987,lithuania,0
1988,lithuania,0
1989,lithuania,0
1990,lithuania,0
1991,lithuania,0
1992,lithuania,0
1993,lithuania,0
1994,lithuania,0
1995,lithuania,0
1996,lithuania,0
1997,lithuania,0
1998,lithuania,0
1999,lithuania,0
2000,lithuania,0
2001,lithuania,0
2002,lithuania,0
2003,lithuania,0
2004,lithuania,0
2005,lithuania,0
2006,lithuania,0
2007,lithuania,0
2008,lithuania,0
2009,lithuania,0
2010,lithuania,0
2011,lithuania,0
2012,lithuania,0
2013,lithuania,0
2014,lithuania,0
2015,lithuania,0
2016,lithuania,0
1950,korea (south),0
1951,korea (south),0
1952,korea (south),0
1953,korea (south),0
1954,korea (south),0
1955,korea (south),0
1956,korea (south),0
1957,korea (south),0
1958,korea (south),0
1959,korea (south),0
1960,korea (south),0
1961,korea (south),0
1962,korea (south),0
1963,korea (south),0
1964,korea (south),11094.225
1965,korea (south),0
1966,korea (south),1584003.666
1967,korea (south),0
1968,korea (south),2350920.321
1969,korea (south),13678800.362
1970,korea (south),0
1971,korea (south),0
1972,korea (south),0
1973,korea (south),0
1974,korea (south),0
1975,korea (south),0
1976,korea (south),165521027.122
1977,korea (south),342716704.506
1978,korea (south),137934705.435
1979,korea (south),82093556.64
1980,korea (south),15107841.469
1981,korea (south),25157342.245
1982,korea (south),115322542.164
1983,korea (south),392892109.945
1984,korea (south),0
1985,korea (south),0
1986,korea (south),0
1987,korea (south),0
1988,korea (south),0
1989,korea (south),0
1990,korea (south),0
1991,korea (south),0
1992,korea (south),0
1993,korea (south),0
1994,korea (south),0
1995,korea (south),0
1996,korea (south),0
1997,korea (south),0
1998,korea (south),0
1999,korea (south),0
2000,korea (south),0
2001,korea (south),0
2002,korea (south),0
2003,korea (south),0
2004,korea (south),0
2005,korea (south),0
2006,korea (south),0
2007,korea (south),0
2008,korea (south),0
2009,korea (south),0
2010,korea (south),0
2011,korea (south),0
2012,korea (south),0
2013,korea (south),0
2014,korea (south),0
2015,korea (south),129025591.04
2016,korea (south),0
1950,latvia,0
1951,latvia,0
1952,latvia,0
1953,latvia,0
1954,latvia,0
1955,latvia,0
1956,latvia,0
1957,latvia,0
1958,latvia,0
1959,latvia,0
1960,latvia,0
1961,latvia,0
1962,latvia,0
1963,latvia,0
1964,latvia,57885.627
1965,latvia,50.252
1966,latvia,7793304.794
1967,latvia,1106701019.562
1968,latvia,116608640.467
1969,latvia,19802318.335
1970,latvia,0
1971,latvia,0
1972,latvia,0
1973,latvia,0
1974,latvia,0
1975,latvia,0
1976,latvia,0
1977,latvia,0
1978,latvia,0
1979,latvia,0
1980,latvia,0
1981,latvia,0
1982,latvia,0
1983,latvia,0
1984,latvia,0
1985,latvia,0
1986,latvia,0
1987,latvia,0
1988,latvia,0
1989,latvia,0
1990,latvia,0
1991,latvia,0
1992,latvia,0
1993,latvia,0
1994,latvia,0
1995,latvia,0
1996,latvia,0
1997,latvia,0
1998,latvia,0
1999,latvia,0
2000,latvia,0
2001,latvia,0
2002,latvia,0
2003,latvia,0
2004,latvia,0
2005,latvia,0
2006,latvia,0
2007,latvia,0
2008,latvia,0
2009,latvia,0
2010,latvia,0
2011,latvia,0
2012,latvia,0
2013,latvia,0
2014,latvia,0
2015,latvia,0
2016,latvia,0
1950,estonia,0
1951,estonia,0
1952,estonia,0
1953,estonia,0
1954,estonia,0
1955,estonia,0
1956,estonia,0
1957,estonia,0
1958,estonia,0
1959,estonia,0
1960,estonia,0
1961,estonia,0
1962,estonia,0
1963,estonia,0
1964,estonia,13145.398
1965,estonia,21.226
1966,estonia,2301873.008
1967,estonia,467337679.334
1968,estonia,33446264.167
1969,estonia,508077.821
1970,estonia,0
1971,estonia,0
1972,estonia,0
1973,estonia,0
1974,estonia,0
1975,estonia,0
1976,estonia,0
1977,estonia,0
1978,estonia,0
1979,estonia,0
1980,estonia,0
1981,estonia,0
1982,estonia,0
1983,estonia,0
1984,estonia,0
1985,estonia,0
1986,estonia,0
1987,estonia,0
1988,estonia,0
1989,estonia,0
1990,estonia,0
1991,estonia,0
1992,estonia,0
1993,estonia,0
1994,estonia,0
1995,estonia,0
1996,estonia,0
1997,estonia,0
1998,estonia,0
1999,estonia,0
2000,estonia,0
2001,estonia,0
2002,estonia,0
2003,estonia,0
2004,estonia,0
2005,estonia,0
2006,estonia,0
2007,estonia,0
2008,estonia,0
2009,estonia,0
2010,estonia,0
2011,estonia,0
2012,estonia,0
2013,estonia,0
2014,estonia,0
2015,estonia,0
2016,estonia,0
1950,others,1671838.02
1951,others,1476157.09
1952,others,1625312.61
1953,others,741680.87
1954,others,1399358.89
1955,others,5242234.81
1956,others,5453033.26
1957,others,5610108.24
1958,others,5849964.08
1959,others,6620263.01
1960,others,10295504.71
1961,others,7539509.19
1962,others,17474479.74
1963,others,20111937.04
1964,others,19735260.24
1965,others,16601160.68
1966,others,18339549.88
1967,others,12599893.46
1968,others,18363200.89
1969,others,55013835.44
1970,others,373564.19
1971,others,7261866.27
1972,others,1963009.76
1973,others,15297121.57
1974,others,7444707.07
1975,others,7686916.42
1976,others,8121871.24
1977,others,2502939.31
1978,others,4486221.71
1979,others,6958253.81
1980,others,12388856.79
1981,others,4289903.9
1982,others,5944365.46
1983,others,1441399.58
1984,others,372122.68
1985,others,118975.65
1986,others,179225.03
1987,others,372934.07
1988,others,1106865.35
1989,others,1504443.09
1990,others,493164.3
1991,others,10329427.03
1992,others,10799896.63
1993,others,4805649.32
1994,others,1200376.51
1995,others,239060
1996,others,2032717.03
1997,others,167184.92
1998,others,90918.3
1999,others,170673.49
2000,others,244895.41
2001,others,20077.15
2002,others,1182071.52
2003,others,171220.62
2004,others,14905.96
2005,others,377810.76
2006,others,367832.88
2007,others,536752.22
2008,others,933839.85
2009,others,797330.3
2010,others,699139.54
2011,others,102035.55
2012,others,38362600.64
2013,others,23128702.56
2014,others,19282.94
2015,others,36474431.48
2016,others,61134200.64
